Outlet_Name,Outlet_Media_Types,Outlet_Language,Language_Short_Name,Is_Major_Media,Outlet_email,Outlet_Website,Outlet_Phone_Number_Primary,Outlet_Phone_Number_News_Desk,Outlet_Social_Media_X,Contact_Social_Media_Instagram,Outlet_Address,Outlet_Location,Postal Code
CTV News - Vancouver,TV | Web,English,EN,TRUE,bcassign@ctv.ca,https://www.ctvnews.ca/vancouver/,604-608-2868,604-609-6397,null,null,Suite 500 969 Robson Street,Vancouver,
Times Colonist,Newspape | Web,English,EN,TRUE,localnews@timescolonist.com,http://www.timescolonist.com/,null,250-380-5333,@timescolonist,,655 Tyee Road,Victoria,
Global TV | BC,TV,English,EN,TRUE,tips@globaltvbc.com,http://www.globaltvbc.com/,604-422-6494,604-422-6416,@GlobalTV,null,7850 Enterprise Street,Burnaby,V5A 3A3
Globe and Mail - BC Bureau,Newspaper | Web,English,EN,TRUE,newsroom@globeandmail.com,http://www.theglobeandmail.com/news/british-columbia/,416-585-5000,604-631-6616,@GlobeBC,null,444 Front Street West,Vancouver,
CHEK TV - Victoria,TV,English,EN,TRUE,tips@cheknews.ca,http://www.cheknews.ca/,null,250-480-3700,@CHEK_News,null,780 Kings Road,Victoria,V8T 5A2
Press Gallery,TV,English,EN,TRUE,null,null,250-387-1591,null,null,null,501 Belleville Street,Victoria,V8V 1X4
Vancouver Sun,Newspaper | Web,English,EN,TRUE,vantips@postmedia.com,https://vancouversun.com/,604-605-2185,604-605-2445,https://twitter.com/VancouverSun,https://www.instagram.com/thevancouversun/,1 - 200 Granville Street,Vancouver,V6C 3N3
CFAX 1070,Radio | Web,English,EN,TRUE,cfax.news@bellmedia.ca,www.iheartradio.ca/cfax-1070,250-381-6397,250-386-1070,@cfax1070,null,1420 Broad Street,Victoria,
CBC - Prince George,Radio | Web,English,EN,TRUE,daybreaknorth@cbc.ca,http://www.cbc.ca/daybreaknorth,250-562-6701,250-562-6701,null,null,Unit 1 - 890 Victoria Street,Prince George,
OMNI TV - Punjabi,TV,Punjabi,PUN,TRUE,news@omnibc.ca,null,604-678-3820,null,null,null,88 East Pender Street,Vancouver,
